   2.7550000448437612E-004   5.1999998092651367        2.9999999562125832        7.2559998055816510E-004   3.2759999862044005        6.9419996978799063E-004   3.7000000190129927        6.5339997293090873E-004
   5.5100000819523264E-004   5.1999997946651302        2.9999998686377514        1.0883999575677379E-003   3.2759999128368356        1.0412999449288889E-003   3.6999999616715469        9.8009995301647618E-004
   8.2650001035904986E-004   5.1999997654651171        2.9999997372755067        1.4511999186538997E-003   3.2759998027854902        1.3883999083660710E-003   3.6999998756593793        1.3067999254461793E-003
   1.1020000102023081E-003   5.1999997216650975        2.9999995621258524        1.8139998585088477E-003   3.2759996560503661        1.7354998561982988E-003   3.6999997609764907        1.6334998876680639E-003
   1.3775000069514878E-003   5.1999996632650713        2.9999993431887915        2.1767997718247795E-003   3.2759994726314656        2.0825997845243345E-003   3.6999996176228827        1.9601998371301757E-003
   1.6529999998330695E-003   5.1999995902650387        2.9999990804643284        2.5395996532938938E-003   3.2759992525287913        2.4296996894429407E-003   3.6999994455985563        2.2868997712805600E-003
   1.9284999880735336E-003   5.1999995026650003        2.9999987739524681        2.9023994976083893E-003   3.2759989957423463        2.7767995670528803E-003   3.6999992449035135        2.6135996875672634E-003
   2.2039999708993604E-003   5.1999994004649563        2.9999984236532158        3.2651992994604659E-003   3.2759987022721342        3.1238994134529163E-003   3.6999990155377560        2.9402995834383319E-003
   2.4794999475370302E-003   5.1999992836649067        2.9999980295665778        3.6279990535423245E-003   3.2759983721181589        3.4709992247418126E-003   3.6999987575012860        3.2669994563418120E-003
   2.7549999172130240E-003   5.1999991522648523        2.9999975916925607        3.9907987545461663E-003   3.2759980052804250        3.8180989970183336E-003   3.6999984707941058        3.5936993037257504E-003
   3.0304998791538221E-003   5.1999990062647932        2.9999971100311722        4.3535983971641941E-003   3.2759976017589367        4.1651987263812444E-003   3.6999981554162180        3.9203991230381940E-003
   3.3059998325859052E-003   5.1999988456647301        2.9999965845824201        4.7163979760886116E-003   3.2759971615536996        4.5122984089293111E-003   3.6999978113676253        4.2470989117271906E-003
   3.5814997767357535E-003   5.1999986704646641        2.9999960153463130        5.0791974860116239E-003   3.2759966846647193        4.8593980407612989E-003   3.6999974386483307        4.5737986672407874E-003
   3.8569997108298480E-003   5.1999984806645951        2.9999954023228601        5.4419969216254376E-003   3.2759961710920016        5.2064976179759751E-003   3.6999970372583380        4.9004983870270325E-003
   4.1324996340946687E-003   5.1999982762645240        2.9999947455120712        5.8047962776222603E-003   3.2759956208355527        5.5535971366721072E-003   3.6999966071976500        5.2271980685339742E-003
   4.4079995457566969E-003   5.1999980572644517        2.9999940449139570        6.1675955486943015E-003   3.2759950338953798        5.9006965929484642E-003   3.6999961484662709        5.5538977092096610E-003
   4.6834994450424133E-003   5.1999978236643782        2.9999933005285291        6.5303947295337712E-003   3.2759944102714900        6.2477959829038152E-003   3.6999956610642046        5.8805973065021418E-003
   4.9589993311782987E-003   5.1999975754643044        2.9999925123557989        6.8931938148328814E-003   3.2759937499638907        6.5948953026369302E-003   3.6999951449914552        6.2072968578594668E-003
   5.2344992033908338E-003   5.1999973126642312        2.9999916803957789        7.2559927992838459E-003   3.2759930529725900        6.9419945482465809E-003   3.6999946002480271        6.5339963607296851E-003
   5.5099990609064993E-003   5.1999970352641594        2.9999908046484824        7.6187916775788799E-003   3.2759923192975964        7.2890937158315398E-003   3.6999940268339246        6.8606958125608476E-003
   5.7854989029517759E-003   5.1999967432640899        2.9999898851139233        7.9815904444101998E-003   3.2759915489389186        7.6361928014905796E-003   3.6999934247491528        7.1873952108010052E-003
   6.0609987287531452E-003   5.1999964366640237        2.9999889217921161        8.3443890944700262E-003   3.2759907418965661        7.9832918013224754E-003   3.6999927939937165        7.5140945528982097E-003
   6.3364985375370881E-003   5.1999961154639616        2.9999879146830759        8.7071876224505806E-003   3.2759898981705486        8.3303907114260032E-003   3.6999921345676210        7.8407938363005119E-003
   6.6119983285300851E-003   5.1999957796639045        2.9999868637868183        9.0699860230440861E-003   3.2759890177608764        8.6774895278999391E-003   3.6999914464708716        8.1674930584559654E-003
   6.8874981009586179E-003   5.1999954292638533        2.9999857691033598        9.4327842909427678E-003   3.2759881006675595        9.0245882468430599E-003   3.6999907297034742        8.4941922168126228E-003
   7.1629978540491673E-003   5.1999950642638089        2.9999846306327171        9.7955824208388539E-003   3.2759871468906092        9.3716868643541461E-003   3.6999899842654349        8.8208913088185376E-003
   7.4384975870282147E-003   5.1999946846637721        2.9999834483749082        1.0158380407424575E-002   3.2759861564300370        9.7187853765319781E-003   3.6999892101567600        9.1475903319217650E-003
   7.7139972991222419E-003   5.1999942904637448        2.9999822223299510        1.0521178245392162E-002   3.2759851292858544        1.0065883779475338E-002   3.6999884073774556        9.4742892835703602E-003
   7.9894969895577296E-003   5.1999938816637279        2.9999809524978649        1.0883975929433852E-002   3.2759840654580734        1.0412982069283008E-002   3.6999875759275285        9.8009881612123786E-003
   8.2649966575611602E-003   5.1999934582637222        2.9999796388786693        1.1246773454241880E-002   3.2759829649467069        1.0760080242053773E-002   3.6999867158069852        1.0127686962295877E-002
   8.5404963023590144E-003   5.1999930202637294        2.9999782814723841        1.1609570814508486E-002   3.2759818277517678        1.1107178293886419E-002   3.6999858270158330        1.0454385684268912E-002
   8.8159959231777739E-003   5.1999925676637506        2.9999768802790303        1.1972368004925914E-002   3.2759806538732694        1.1454276220879734E-002   3.6999849095540789        1.0781084324579542E-002
